Chapter,Token,num_occurences
1,a,52
1,about,8
1,across,2
1,actually,1
1,advice,1
1,advise,1
1,afraid,1
1,after,5
1,afterwards,1
1,again,4
1,against,1
1,air,2
1,alas,2
1,alice,28
1,all,10
1,almost,1
1,along,1
1,aloud,1
1,altogether,1
1,am,1
1,among,2
1,an,2
1,and,65
1,another,3
1,answer,1
1,antipathies,1
1,anxiously,1
1,any,4
1,anything,2
1,are,1
1,as,14
1,ask,2
1,asking,1
1,at,11
1,ate,1
1,australia,1
1,away,1
1,back,2
1,bank,1
1,bat,2
1,bats,4
1,be,13
1,beasts,1
1,beautifully,2
1,because,1
1,beds,1
1,been,1
1,before,5
1,began,3
1,begin.,1
1,beginning,1
1,begun,2
1,behind,2
1,belong,1
1,best,1
1,bit,2
1,bleeds,1
1,blown,1
1,book,3
1,bookshelves,1
1,bottle,4
1,box,2
1,brave,1
1,bright,1
1,brightened,1
1,bring,1
1,burn,1
1,burning,1
1,burnt,1
1,but,21
1,buttered,1
1,by,6
1,cake,3
1,came,3
1,can,2
1,candle,3
1,care,1
1,cat,1
1,catch,1
1,cats,4
1,centre,1
1,certain,1
1,certainly,1
1,chapter,1
1,cheated,1
1,cherrytart,1
1,child,1
1,children,1
1,climb,1
1,close,2
1,come,3
1,coming,1
1,common,1
1,considering,2
1,conversations,2
1,cool,1
1,corner,2
1,could,8
1,couldn,1
1,country,1
1,creep,1
1,cried,1
1,croquet,1
1,crying,1
1,cupboards,2
1,curiosity,1
1,curious,2
1,currants,1
1,curtain,1
1,curtsey,1
1,curtseying,1
1,custard,1
1,cut,1
1,daisies,1
1,daisychain,1
1,dark,3
1,day,1
1,dear,3
1,decided,1
1,deep,2
1,deeply,1
1,delight,1
1,did,3
1,didn,2
1,dinah,5
1,dipped,1
1,disagree,1
1,disappointment,1
1,distancebut,1
1,do,9
1,don,1
1,door,7
1,doors,2
1,doorway,1
1,down,23
1,downward,1
1,dozing,1
1,dream,1
1,dreamy,1
1,drink,3
1,drop,1
1,dry,1
1,dull,1
1,earnestly,1
1,ears,2
1,earth,2
1,eat,7
1,eaten,1
1,eats,1
1,either,6
1,else,1
1,empty,1
1,end,2
1,enough,1
1,even,3
1,ever,4
1,every,1
1,except,1
1,expecting,1
1,eye,1
1,eyes,2
1,face,1
1,fact,1
1,fall,4
1,fallen,1
1,falling,2
1,fancy,1
1,fear,1
1,feel,2
1,feeling,1
1,feet,2
1,fell,4
1,felt,2
1,few,2
1,field,1
1,fifteen,1
1,filled,1
1,find,2
1,finding,2
1,finger,1
1,finished,2
1,first,4
1,fitted,1
1,flame,1
1,flashed,1
1,flavour,1
1,flowers,1
1,followed,1
1,fond,1
1,for,21
1,forgotten,2
1,fortunately,1
1,found,7
1,fountains,1
1,four,1
1,friends,1
1,from,3
1,funny,1
1,further,1
1,game,1
1,garden,4
1,gave,1
1,generally,2
1,get,7
1,getting,3
1,girl,1
1,glad,1
1,glass,3
1,go,2
1,going,6
1,golden,3
1,good,3
1,got,4
1,grand,1
1,great,2
1,grow,2
